,Lat,Long,,Population,
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",10,"""]"
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",47,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",19,"""]"
[,50.488531,-115.990463,"""",46,"""]"
[,50.488531,-115.990463,"""",22,"""]"
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",10,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",62,"""]"
[,50.488531,-115.990463,"""",53,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",38,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",22,"""]"
[,50.465737,-115.980116,"""",0,"""]"
[,50.465737,-115.980116,"""",31,"""]"
[,50.465737,-115.980116,"""",24,"""]"
[,50.465737,-115.980116,"""",10,"""]"
[,50.465737,-115.980116,"""",15,"""]"
[,50.465737,-115.980116,"""",0,"""]"
[,50.465737,-115.980116,"""",5,"""]"
[,50.465737,-115.980116,"""",10,"""]"
[,50.465737,-115.980116,"""",0,"""]"
[,50.465737,-115.980116,"""",10,"""]"
[,50.465737,-115.980116,"""",44,"""]"
[,50.465737,-115.980116,"""",101,"""]"
[,50.465737,-115.980116,"""",0,"""]"
[,50.465737,-115.980116,"""",10,"""]"
[,50.465737,-115.980116,"""",5,"""]"
[,50.465737,-115.980116,"""",29,"""]"
[,50.465737,-115.980116,"""",10,"""]"
[,50.465737,-115.980116,"""",5,"""]"
[,50.465737,-115.980116,"""",10,"""]"
[,50.465737,-115.980116,"""",5,"""]"
[,50.465737,-115.980116,"""",15,"""]"
[,50.465737,-115.980116,"""",10,"""]"
[,50.465737,-115.980116,"""",52,"""]"
[,50.465737,-115.980116,"""",0,"""]"
[,50.465737,-115.980116,"""",5,"""]"
[,50.465737,-115.980116,"""",5,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",15,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",27,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",28,"""]"
[,50.413922,-115.917143,"""",10,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",31,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",5,"""]"
[,50.413922,-115.917143,"""",0,"""]"
[,50.413922,-115.917143,"""",5,"""]"
[,50.413922,-115.917143,"""",10,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",36,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",10,"""]"
[,50.332757,-115.857198,"""",42,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",43,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",45,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",27,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",18,"""]"
[,50.332757,-115.857198,"""",18,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",29,"""]"
[,50.332757,-115.857198,"""",30,"""]"
[,50.332757,-115.857198,"""",35,"""]"
[,50.332757,-115.857198,"""",0,"""]"
[,50.332757,-115.857198,"""",20,"""]"
[,50.332757,-115.857198,"""",47,"""]"
[,50.332757,-115.857198,"""",66,"""]"
[,50.332757,-115.857198,"""",5,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",5,"""]"
[,50.404202,-115.888352,"""",5,"""]"
[,50.404202,-115.888352,"""",41,"""]"
[,50.404202,-115.888352,"""",18,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",66,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",5,"""]"
[,50.404202,-115.888352,"""",17,"""]"
[,50.404202,-115.888352,"""",19,"""]"
[,50.404202,-115.888352,"""",17,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",19,"""]"
[,50.404202,-115.888352,"""",15,"""]"
[,50.404202,-115.888352,"""",35,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",20,"""]"
[,50.404202,-115.888352,"""",16,"""]"
[,50.404202,-115.888352,"""",5,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",43,"""]"
[,50.404202,-115.888352,"""",62,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",22,"""]"
[,50.404202,-115.888352,"""",46,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",10,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.404202,-115.888352,"""",21,"""]"
[,50.404202,-115.888352,"""",69,"""]"
[,50.404202,-115.888352,"""",0,"""]"
[,50.158298,-115.815665,"""",22,"""]"
[,50.158298,-115.815665,"""",26,"""]"
[,50.158298,-115.815665,"""",80,"""]"
[,50.158298,-115.815665,"""",20,"""]"
[,50.158298,-115.815665,"""",16,"""]"
[,50.158298,-115.815665,"""",15,"""]"
[,50.158298,-115.815665,"""",19,"""]"
[,50.158298,-115.815665,"""",21,"""]"
[,50.158298,-115.815665,"""",22,"""]"
[,50.158298,-115.815665,"""",16,"""]"
[,50.158298,-115.815665,"""",16,"""]"
[,50.158298,-115.815665,"""",10,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",91,"""]"
[,50.158298,-115.815665,"""",5,"""]"
[,50.158298,-115.815665,"""",138,"""]"
[,50.158298,-115.815665,"""",30,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",23,"""]"
[,50.158298,-115.815665,"""",35,"""]"
[,50.158298,-115.815665,"""",15,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",65,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",5,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",5,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",5,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",5,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",0,"""]"
[,50.158298,-115.815665,"""",10,"""]"
[,50.391936,-116.09037,"""",10,"""]"
[,50.391936,-116.09037,"""",68,"""]"
[,50.391936,-116.09037,"""",10,"""]"
[,50.391936,-116.09037,"""",24,"""]"
[,50.391936,-116.09037,"""",32,"""]"
[,50.391936,-116.09037,"""",10,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",10,"""]"
[,50.391936,-116.09037,"""",15,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",43,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",5,"""]"
[,50.391936,-116.09037,"""",21,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",115,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",110,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",0,"""]"
[,50.391936,-116.09037,"""",28,"""]"
[,50.391936,-116.09037,"""",23,"""]"
[,50.391936,-116.09037,"""",23,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",30,"""]"
[,49.748217,-115.818513,"""",17,"""]"
[,49.748217,-115.818513,"""",37,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",10,"""]"
[,49.748217,-115.818513,"""",10,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",16,"""]"
[,49.748217,-115.818513,"""",15,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",21,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",5,"""]"
[,49.748217,-115.818513,"""",57,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",10,"""]"
[,49.748217,-115.818513,"""",5,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.748217,-115.818513,"""",172,"""]"
[,49.748217,-115.818513,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",5,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",39,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",19,"""]"
[,49.78514,-115.661393,"""",10,"""]"
[,49.78514,-115.661393,"""",5,"""]"
[,49.78514,-115.661393,"""",10,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",5,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",29,"""]"
[,49.78514,-115.661393,"""",5,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",0,"""]"
[,49.78514,-115.661393,"""",22,"""]"
[,49.78514,-115.661393,"""",18,"""]"
[,49.78514,-115.661393,"""",0,"""]"
